"ccode1" "ccode2" "edge" "defense" "mil_ratio" "tot_trade" "joint_dem" "year" "edgelab" "nis"
2 20 1 0 0.94277328 0 1 1946 1 8
2 20 1 0 0.93501896 0 1 1947 2 10
2 20 1 0 0.93828756 3832.5 1 1948 3 10
2 20 1 1 0.90915948 3844.2 1 1949 4 14
2 20 1 1 0.88813001 4263.1001 1 1950 5 25
2 20 1 1 0.80027908 5407.1001 1 1951 6 28
2 20 1 1 0.74613881 5955.1001 1 1952 7 35
2 20 1 1 0.74790138 6279.8999 1 1953 8 32
2 20 1 1 0.74880546 5936.2998 1 1954 9 35
2 20 1 1 0.7484805 6745.5 1 1955 10 57
2 20 1 1 0.7481367 7818.5 1 1956 11 68
2 20 1 1 0.74420905 7792.5 1 1957 12 73
2 20 1 1 0.74671721 7323.2002 1 1958 13 72
2 20 1 1 0.74328804 8056.8999 1 1959 14 74
2 20 1 1 0.73670465 7599.1001 1 1960 15 81
2 20 1 1 0.72852689 7818.2998 1 1961 16 108
2 20 1 0 0.72083688 8406.0996 1 1962 17 113
2 20 1 0 0.72056019 8705.1992 1 1963 18 111
2 20 1 0 0.71292597 9891.6992 1 1964 19 111
2 20 1 0 0.71098936 11410.7 1 1965 20 144
2 20 1 0 0.71877497 13929.3 1 1966 21 189
2 20 1 0 0.72220212 15794.3 1 1967 22 231
2 20 1 0 0.72532028 18792.398 1 1968 23 203
2 20 1 0 0.7319591 21544.398 1 1969 24 209
2 20 1 0 0.73685962 22191.699 1 1970 25 204
2 20 1 0 0.7491532 25403.301 1 1971 26 203
2 20 1 0 0.74415827 30171 1 1972 27 259
2 20 1 0 0.75342333 36925.898 1 1973 28 304
2 20 1 0 0.75123352 47589.602 1 1974 29 286
2 20 1 0 0.75709963 48135.297 1 1975 30 287
2 20 1 0 0.75189275 56306.699 1 1976 31 369
2 20 1 0 0.75214487 61688.703 1 1977 32 387
2 20 1 0 0.75085521 68631.594 1 1978 33 355
2 20 1 0 0.7527892 81438.094 1 1979 34 376
2 20 1 0 0.75060654 87320 1 1980 35 433
2 20 1 0 0.74997264 96573.398 1 1981 36 489
2 20 1 0 0.74844593 89163.398 1 1982 37 486
2 20 1 0 0.74959075 101173 1 1983 38 506
2 20 1 0 0.74751472 124809.41 1 1984 39 553
2 20 1 0 0.74969393 128892.3 1 1985 40 521
2 20 1 0 0.74791497 129886.3 1 1986 41 501
2 20 1 0 0.74469244 137101.09 1 1987 42 503
2 20 1 0 0.7406643 158925.41 1 1988 43 480
2 20 1 1 0.74084312 171554.59 1 1989 44 485
2 20 1 1 0.74009043 176558 1 1990 45 400
2 20 1 1 0.73594123 176263.7 1 1991 46 363
2 20 1 1 0.74564999 188515.5 1 1992 47 280
2 20 1 1 0.75274992 210151.8 1 1993 48 298
2 20 1 1 0.74746382 241547 1 1994 49 349
2 20 1 1 0.74767965 268190 1 1995 50 378
2 20 1 1 0.74755603 285834 1 1996 51 446
2 20 1 1 0.75205094 316583 1 1997 52 426
2 20 1 1 0.75113595 327102 1 1998 53 431
2 20 1 1 0.74757957 356676 1 1999 54 398
2 20 1 1 0.74875563 398259 1 2000 55 407
2 20 1 1 0.75430799 375343 1 2001 56 399
2 20 1 1 0.7601096 366923 1 2002 57 419
2 20 1 1 0.75654835 387282 1 2003 58 462
2 20 1 1 0.74481177 436065 1 2004 59 488
2 20 1 1 0.73391277 487095 1 2005 60 518
2 20 1 1 0.72942573 519070 1 2006 61 535
2 20 1 1 0.72319895 544015 1 2007 62 500
2 31 2 1 0.99760777 1519.4 1 1985 63 0
2 31 2 1 0.99127662 1491.58 1 1989 64 0
2 31 2 1 0.99464792 1406.98 1 1990 65 0
2 31 2 1 0.99704039 1390.85 1 1992 66 0
2 31 2 1 0.99512792 1129.8 1 1999 67 0
2 31 2 1 0.99476337 1436.37 1 2000 68 0
2 31 2 1 0.99486375 1452.3899 1 2001 69 0
2 31 2 1 0.99494255 1550.4099 1 2002 70 0
2 31 2 1 0.99456644 1692.73 1 2003 71 0
2 31 2 1 0.9945938 1967.7101 1 2004 72 0
2 31 2 1 0.99462765 2672.0901 1 2005 73 0
2 31 2 1 0.99400407 2992.3098 1 2006 74 0
2 31 2 1 0.99368209 3243.6099 1 2007 75 0
2 40 3 1 0.97901809 883.66003 0 1948 76 0
2 40 3 1 0.97007596 884.25 0 1950 77 0
2 40 3 1 0.94946826 984.96997 0 1952 78 0
2 40 3 1 0.95229596 896.98999 0 1953 79 0
2 40 3 1 0.96436995 922.63 0 1955 80 0
2 40 3 1 0.96677631 1032.47 0 1956 81 0
2 40 3 1 0.95959657 1162.24 0 1957 82 0
2 40 3 1 0.89762777 614 0 1960 83 0
2 40 3 1 0.89282161 51 0 1961 84 1
2 40 3 1 0.87710994 20 0 1962 85 1
2 40 3 0 0.85662097 37 0 1963 86 1
2 40 3 0 0.84761 0 0 1964 87 1
2 40 3 0 0.87218857 0 0 1965 88 1
2 40 3 0 0.83528954 0 0 1966 89 1
2 40 3 0 0.86088693 0 0 1967 90 1
2 40 3 0 0.84617954 0 0 1968 91 0
2 40 3 0 0.86282903 0 0 1969 92 0
2 40 3 0 0.8505795 0 0 1970 93 0
2 40 3 0 0.83577007 0 0 1971 94 0
2 40 3 0 0.85042596 0 0 1972 95 1
2 40 3 0 0.86038178 0 0 1973 96 1
2 40 3 0 0.87135756 0 0 1974 97 1
2 40 3 0 0.8685686 0 0 1975 98 1
2 40 3 0 0.82595885 1.6 0 1977 99 1
2 40 3 0 0.81090432 0.30000001 0 1978 100 1
2 40 3 0 0.81447905 0.5 0 1979 101 1
2 40 3 0 0.8324818 0 0 1980 102 1
2 40 3 0 0.83503628 0.55000001 0 1981 103 1
2 40 3 0 0.8430267 2.5900002 0 1982 104 1
2 40 3 0 0.85455251 0.66000003 0 1983 105 1
2 40 3 0 0.8673023 1.1 0 1984 106 1
2 40 3 0 0.86968452 1.1 0 1985 107 1
2 40 3 0 0.86086434 1.54 0 1986 108 1
2 40 3 0 0.84991902 1.4299999 0 1987 109 1
2 40 3 0 0.81964439 3.74 0 1988 110 1
2 40 3 0 0.84177619 3.1900001 0 1989 111 0
2 40 3 0 0.85089946 1.54 0 1990 112 0
2 40 3 0 0.89627719 1.4299999 0 1991 113 1
2 40 3 0 0.99995065 4.8400002 0 1994 114 0
2 40 3 0 0.90915555 6.3800001 0 1995 115 0
2 40 3 0 0.90133107 6.0500002 0 1996 116 1
2 40 3 0 0.89458013 10.12 0 1997 117 1
2 40 3 0 0.88369882 3.8499999 0 1998 118 0
2 40 3 0 0.88620329 6.0999999 0 1999 119 0
2 40 3 0 0.88772714 3.8100002 0 2000 120 0
2 40 3 0 0.88976979 7.48 0 2001 121 0
2 40 3 0 0.86196387 159.14999 0 2002 122 0
2 40 3 0 0.86141431 287.30002 0 2003 123 0
2 40 3 0 0.85976881 440.44 0 2004 124 0
2 40 3 0 0.85586035 397.87 0 2005 125 0
2 40 3 0 0.85073125 382.67001 0 2006 126 0
2 41 4 1 0.99887377 0 0 1946 127 0
2 41 4 1 0.99838012 0 0 1947 128 0
2 41 4 1 0.99795318 46 0 1948 129 0
2 41 4 1 0.99747068 48.299999 0 1949 130 0
2 41 4 1 0.99655604 52.400002 0 1950 131 0
2 41 4 1 0.99430978 66.900002 0 1951 132 0
2 41 4 1 0.99389213 69.099998 0 1952 133 0
2 41 4 1 0.99308664 48.400002 0 1953 134 0
2 41 4 1 0.9935739 56.599998 0 1954 135 0
2 41 4 1 0.99342746 43.599998 0 1955 136 0
2 41 4 1 0.99370152 45 0 1956 137 0
2 41 4 1 0.99387586 45 0 1957 138 0
2 41 4 1 0.993092 50 0 1958 139 0
2 41 4 1 0.99203581 35.900002 0 1959 140 0
2 41 4 1 0.99195832 42.32 0 1960 141 0
2 41 4 1 0.99190229 40.139999 0 1961 142 0
2 41 4 1 0.99127209 47.510002 0 1962 143 0
2 41 4 1 0.98821509 48.599998 0 1963 144 0
2 41 4 1 0.98588377 48.099998 0 1964 145 0
2 41 4 1 0.9859193 43.830002 0 1965 146 0
2 41 4 1 0.98709929 41.419998 0 1966 147 0
2 41 4 1 0.98680133 44.830002 0 1967 148 0
2 41 4 1 0.98731685 47.720001 0 1968 149 0
2 41 4 1 0.98781937 52.980003 0 1969 150 0
2 41 4 1 0.98842919 58.199997 0 1970 151 0
2 41 4 1 0.9889183 69.080002 0 1971 152 0
2 41 4 1 0.98978359 83.120003 0 1972 153 0
2 41 4 1 0.99014735 100.05 0 1973 154 0
2 41 4 1 0.99181122 170.73999 0 1974 155 0
2 41 4 1 0.99150819 189.17999 0 1975 156 0
2 41 4 1 0.99171478 269.60999 0 1976 157 0
2 41 4 1 0.99182767 282.02002 0 1977 158 0
2 41 4 1 0.99227387 301.64999 0 1978 159 0
2 41 4 1 0.99279636 356.46002 0 1979 160 0
2 41 4 1 0.9930647 453.15002 0 1980 161 0
2 41 4 1 0.99066848 482.64999 0 1981 162 0
2 41 4 1 0.99092704 654.06 0 1982 163 0
2 41 4 1 0.99101919 754.19 0 1983 164 0
2 41 4 1 0.99129039 855.72998 0 1984 165 0
2 41 4 1 0.99132586 779.19995 0 1985 166 0
2 41 4 1 0.9883818 666.13 0 1987 167 0
2 41 4 1 0.99001634 578.07001 0 1988 168 0
2 41 4 1 0.98776191 542.02002 0 1989 169 0
2 41 4 1 0.99479222 660.63 0 1990 170 0
2 41 4 1 0.99246186 728.41003 0 1991 171 0
2 41 4 1 0.98842984 348.95999 0 1992 172 0
2 41 4 1 0.99039948 519.44 0 2001 173 0
2 42 5 1 0.99790412 0 0 1946 174 0
2 42 5 1 0.99612767 0 0 1947 175 0
2 42 5 1 0.98351574 76.309998 0 1950 176 0
2 42 5 1 0.97106844 121.79 0 1953 177 0
2 42 5 1 0.97450799 136.95 0 1954 178 0
2 42 5 1 0.97680372 137.84 0 1955 179 0
2 42 5 1 0.96947771 158.10001 0 1958 180 0
2 42 5 1 0.96415323 160.64 0 1959 181 0
2 42 5 1 0.96764886 170.91 0 1960 182 0
2 42 5 1 0.96607161 130 0 1961 183 0
2 42 5 1 0.96258247 193.48 1 1962 184 0
2 42 5 1 0.95892864 239.79001 0 1963 185 0
2 42 5 1 0.95524436 255.10001 0 1964 186 0
2 42 5 1 0.95643288 172.56 0 1965 187 0
2 42 5 1 0.9573881 191.68001 0 1966 188 0
2 42 5 1 0.95895553 248.84 0 1967 189 0
2 42 5 1 0.95961595 286.21002 0 1968 190 0
2 42 5 1 0.96251285 299.29999 0 1969 191 0
2 42 5 1 0.96352136 338.20001 0 1970 192 0
2 42 5 1 0.96561569 349 0 1971 193 0
2 42 5 1 0.9659667 429.10001 0 1972 194 0
2 42 5 1 0.96735418 555.70001 0 1973 195 0
2 42 5 1 0.96446341 915.20001 0 1974 196 0
2 42 5 1 0.96336704 1111 0 1975 197 0
2 42 5 1 0.96225375 980.5 0 1976 198 0
2 42 5 1 0.96230531 1081.13 0 1977 199 0
2 42 5 1 0.96184146 986.52997 0 1978 200 0
2 42 5 1 0.94935304 1223.9 0 1979 201 0
2 42 5 1 0.94905835 1530.2 0 1980 202 0
2 42 5 1 0.96294773 1645.9 0 1981 203 0
2 42 5 1 0.9636699 1203.5 0 1982 204 0
2 42 5 1 0.96602881 1359.8101 0 1983 205 0
2 42 5 1 0.96281904 1539.96 0 1984 206 0
2 42 5 1 0.98515195 1549.47 0 1985 207 0
2 42 5 1 0.98078799 1759.71 0 1986 208 0
2 42 5 1 0.97905433 1927.66 0 1987 209 0
2 42 5 1 0.98307443 2202.6899 0 1988 210 0
2 42 5 1 0.98312414 2615.4102 0 1989 211 0
2 42 5 1 0.98415351 2735.1099 0 1990 212 0
2 42 5 1 0.99100804 3094.5701 0 1991 213 0
2 42 5 1 0.98684448 3551.8198 0 1992 214 0
2 42 5 1 0.97946775 3944.8701 0 1993 215 0
2 42 5 1 0.97428977 4336.9199 1 1996 216 0
2 42 5 1 0.97173196 9171.1201 1 1997 217 0
2 42 5 1 0.96993363 10005.41 1 1998 218 0
2 42 5 1 0.97062236 10160.41 1 1999 219 0
2 42 5 1 0.95984095 10781.609 1 2000 220 0
2 42 5 1 0.96267414 9944.8398 1 2001 221 0
2 42 5 1 0.95058233 8958.75 1 2002 222 0
2 42 5 1 0.96354645 9192.7598 1 2003 223 0
2 42 5 1 0.96548879 9414.8799 1 2004 224 0
2 42 5 1 0.94969922 9900.6406 1 2005 225 0
2 42 5 1 0.95442492 10531.891 1 2006 226 0
